Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"VM Zhang, D Punzalan, L Rowe","Climate change has different predicted effects on the range shifts of two hybridizing ambush bug (Phymata, Family Reduviidae, Order Hemiptera) species",2020,"Ecology and evolution","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.6820","https://scholar.google.com/scholar?cites=16660424144419650597&as_sdt=2005&sciodt=0,5&hl=en",1,"2022-05-30 20:18:07","","10.1002/ece3.6820","","",,,,,3,1.50,1,3,2,"… This suggests that the changes in the amount of suitable habitat will result in the range shift of P. americana toward the range of P. pennsylvanica, resulting in a larger degree of overlap. …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.6820","https://scholar.google.com/scholar?q=related:JXx5F323NecJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
17,"RJ Warren, LD Chick, B DeMarco, A McMillan…","Climate-driven range shift prompts species replacement",2016,"Insectes Sociaux","Springer","https://link.springer.com/article/10.1007/s00040-016-0504-0","https://scholar.google.com/scholar?cites=15542798514487721795&as_sdt=2005&sciodt=0,5&hl=en",2,"2022-05-30 20:18:07","","10.1007/s00040-016-0504-0","","",,,,,17,2.83,3,5,6,"… Climate change prompts warm-tolerant species upward and poleward to either displace or … met, suggesting hybridization. However, we found no evidence of genetic hybridization, and …","https://www.researchgate.net/profile/Robert-Warren-11/publication/307525684_Climate-driven_range_shift_prompts_species_replacement/links/5abe63b945851584fa71a7b5/Climate-driven-range-shift-prompts-species-replacement.pdf","https://scholar.google.com/scholar?q=related:Q3-CT-Ycs9cJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"VM Zhang, D Punzalan, L Rowe","Climate change has different predicted effects on the range shifts of two hybridising ambush bug (Phymata) species",2020,"Authorea Preprints","authorea.com","https://www.authorea.com/doi/full/10.22541/au.158981471.19903295","",3,"2022-05-30 20:18:07","","10.22541/au.158981471.19903295","","",,,,,0,0.00,0,3,2,"… pair of insect species that appear to hybridize in overlapping … scenarios of anthropogenic climate change. We hypothesized … habitat will result in the range shift of P. americana towards …","https://www.authorea.com/doi/pdf/10.22541/au.158981471.19903295","https://scholar.google.com/scholar?q=related:Lts1m0bZf3AJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
49,"RA Sánchez‐Guillén, A Córdoba‐Aguilar…","Evolutionary consequences of climate‐induced range shifts in insects",2016,"Biological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12204","https://scholar.google.com/scholar?cites=9370522670424514528&as_sdt=2005&sciodt=0,5&hl=en",4,"2022-05-30 20:18:07","","10.1111/brv.12204","","",,,,,49,8.17,16,3,6,"… , namely the genomics of hybridisation and introgression, our … a range shift involve insect pests and disease vectors. … in response to future climate change scenarios and this was then …","http://marenwellenreuther.com/My%20PDF%20FILES/34.%20S%C3%A1nchez%E2%80%90Guill%C3%A9n%20RA,%20C%C3%B3rdoba%E2%80%90Aguilar%20A,%20Hansson%20B,%20Ott%20J,%20WELLENREUTHER%20M%20(2015).pdf","https://scholar.google.com/scholar?q=related:4N9lurjICoIJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
4,"D Chamorro, R Real, AR Muñoz","Fuzzy sets allow gaging the extent and rate of species range shift due to climate change",2020,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-020-73509-y","https://scholar.google.com/scholar?cites=4680492276196755450&as_sdt=2005&sciodt=0,5&hl=en",5,"2022-05-30 20:18:07","HTML","","","",,,,,4,2.00,1,3,2,"… For instance, hybridization with the Common Buzzard (B. … Hybridization in these areas is favoured because the Atlas … If the offspring were infertile, hybridisation would be acting as a …","https://www.nature.com/articles/s41598-020-73509-y","https://scholar.google.com/scholar?q=related:-seqSO1y9EAJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
48,"PD Wallingford, TL Morelli, JM Allen, EM Beaury…","Adjusting the lens of invasion biology to focus on the impacts of climate-driven range shifts",2020,"… Climate Change","nature.com","https://www.nature.com/articles/s41558-020-0768-2","https://scholar.google.com/scholar?cites=15365661812382775194&as_sdt=2005&sciodt=0,5&hl=en",6,"2022-05-30 20:18:07","","","","",,,,,48,24.00,10,5,2,"… As these fast-growing insect pests shift into novel forest … undergoing a climate-mediated range shift 39 . As black locust … Range-shifting species could potentially undergo hybridization, …","https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=2167&context=usgsstaffpub","https://scholar.google.com/scholar?q=related:mjfc8QHMPdUJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
43,"SF Ryan, JM Deines, JM Scriber…","Climate-mediated hybrid zone movement revealed with genomics, museum collection, and simulation modeling",2018,"Proceedings of the …","National Acad Sciences","https://www.pnas.org/content/115/10/E2284.short","https://scholar.google.com/scholar?cites=11492765709144206554&as_sdt=2005&sciodt=0,5&hl=en",7,"2022-05-30 20:18:07","","","","",,,,,43,10.75,11,4,4,"… responses to climate change, is hybridization. Although hybrid … could be considered a parallel range shift of the two species. … Although our dataset is not ideal for estimating hybridization …","https://www.pnas.org/content/pnas/115/10/E2284.full.pdf","https://scholar.google.com/scholar?q=related:2qxUbIWBfp8J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
13,"D Vasiliev, S Greenwood","The role of climate change in pollinator decline across the Northern Hemisphere is underestimated",2021,"Science of the Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S004896972100855X","https://scholar.google.com/scholar?cites=3828277313352367781&as_sdt=2005&sciodt=0,5&hl=en",8,"2022-05-30 20:18:07","","","","",,,,,13,13.00,7,2,1,"… For instance, hybridization of Heliconius butterfly species at their range boundaries has led … Namely, the authors have found that allochrony is often observed among insect species. This …","","https://scholar.google.com/scholar?q=related:pf4N9O7FIDUJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
56,"G Buczkowski, C Bertelsmeier","Invasive termites in a changing climate: A global perspective",2017,"Ecology and evolution","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.2674","https://scholar.google.com/scholar?cites=3560703553902303634&as_sdt=2005&sciodt=0,5&hl=en",9,"2022-05-30 20:18:07","","10.1002/ece3.2674","","",,,,,56,11.20,28,2,5,"… compared the sizes of the different range shift vectors, to assess whether species … climate change are not only affecting invasive termite distribution, but also contributing to hybridization …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2674","https://scholar.google.com/scholar?q=related:klnRUAQpajEJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
4,"N Dahal, S Lamichhaney, S Kumar","Climate change impacts on Himalayan biodiversity: evidence-based perception and current approaches to evaluate threats under climate change",2021,"Journal of the Indian Institute of …","Springer","https://link.springer.com/article/10.1007/s41745-021-00237-1","https://scholar.google.com/scholar?cites=17168495548237268258&as_sdt=2005&sciodt=0,5&hl=en",10,"2022-05-30 20:18:07","","10.1007/s41745-021-00237-1","","",,,,,4,4.00,1,3,1,"… In a similar way, hybridization can create new adaptive … climate change 43,44 ). We will explore three widely accepted global fingerprints of climate change: (a) distributional range shift, (…","https://journal.iisc.ac.in/index.php/iisc/article/viewFile/4916/5191","https://scholar.google.com/scholar?q=related:IsWOEL2_Qu4J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
