ID	Order	Sp1	Sp2	Conservation.Status.IUCN.1	Conservation.Status.IUCN.2	Hybridization.Type	Outcome	Method	Description	Divergence.Time	Anthtrpocentric.Importance	Region	Type
1	Diptera	Tomoplagia reticulata	Tomoplagia pallens	Not Evaluated	Not Evaluated	3	"Introgression, Rare hybridization"	Allozymes and mtDNA	"Tephritidae fruit flies that develop on asteraceae flower heads in the Brazilian Campos Rupestres, both potentially endangered"	NA	NA	South America	Climate change induced hybridisation
2	Hemiptera	Carbula humerigera	Carbula putoni	Not Evaluated	Not Evaluated	3	"Hybrid Zone, Introgression, Local species fussion"	"niche modelling, mtDNA, nuclear genes and morphological analyses"	"Grain non-pests stink bugs of east Asia, parental species niches closely related to climate variables and with range changes since the LMG"	NA	NA	Asia	Hybrid zone dynamics dependant on climate change
3	Hemiptera	Phymata americana	Phymata pennsylvanica	Not Evaluated	Not Evaluated	3	"Hybrd Zone, Introgression"	"Reproductive barriers measurements, Ecological niche modeling"	Two true bugs species. Currently intermediate phenotypes have been seen in the wild. Experimental crosses have produced viable and ferile hybrids.	Pleistocene	NA	North America	Increased expected hybridisation due to climate change
4	Hymenoptera	Apis mellifera scutellata	Apis mellifera ssp	Data Deficient	Data Deficient	3	"Hybrid Zone, Introgression, Species Fussion"	"Review, microsatellites, mtDNA"	"The africanized bee is a hybrid between, european subspecies and Apeis mellifera scutellata. Apils mellifera scutellata was released accidently in Brazil in 1950, and from there it has hybridized with european bees subspecies."	Pleistocene (0.3 ~ 1.3 mya)	"Human Health, Benefits to apiculture"	Worldwide	Increased expected hybridisation due to climate change
5	Hymenoptera	Formica polyctena	Formica aquilonia	Near Threatened	Near Threatened	3	"Hybrid Zone, Species fussion, Introgression, Adaptive Introgression"	"Microsatellites, SNPs, Thermal tolerance experiment"	"Naturally hybridizing species that have form hybrid linages, selection have been discovered in several SNPs. Hybridization could help cope with global warming. It is predicted that hybridization will increase."	Pleistocene	NA	Europe	Increased expected hybridisation due to climate change
6	Hymenoptera	Melipona quadrifasciata quadrifasciata	Melipona quadrifasciata anthidioides	Not Evaluated	Not Evaluated	3	"Hybrid Zone, Genetic Swamping"	Ecological niche modelling	"Two melipona bees subspecies each adapted to different conditions. A hybrid zone exist, but climate change is expected to increase the overlapping area and favour one of the subspecies (anthioides), which in turn, will increae the risk of quadrifasciata, currently at risk in the Rio Grande do Sul state."	NA	Honey production	South America	Increased expected hybridisation due to climate change
7	Hymenoptera	Solenopsis invicta	Solenopsis richteri	Not Evaluated	Not Evaluated	3	"Hybrid Zone, Introgression, Species Fussion"	"Thermal tolerance experiment, Morphology"	"Introduced pests in the USA originated from South America. Range expansion and hybridisation favoured by climate change and lack of predators in the USA. The two have formed a hybrid species. Hybrids have greater advantages than parental pops, thus it is expected all colonies in the USA to become of hybrid origin."	Oligocene 25 mya	"Agricultural Pests, Human Health"	North America	Climate change induced hybridisation
8	Isoptera	Coptotermes formosanus	Coptotermes gestroi	Not Evaluated	Not Evaluated	NA	Possible future Introgression	"Reproductive barriers, mtDNA, microsatellites"	"Introduced pests termites in the USA and globally. Distribution overlapp in Florida, Taiwan and Hawai. Hyrid colonies grow bigger than conspecifics, but no postzygotic barrieres were measured, due to 5 ~ 8 years life cycles. It is expected they will hyrbidize, however hybrid fertility is still not known."	NA	Urban Pests ($40 billones anuales)	"North America, Asia"	Expected range expansion and hybridisation
9	Lepidoptera	Aricia agestis	Aricia artaxerxes	Not Evaluated	Not Evaluated	3	"Hybrid Zone, Introgression, Species Fussion, Local Extinction"	Nuclear DNA	Hybrid populations arising from pulsos of hybridisation between pure pops in England. Locally they will either be isolated or prone to hybridise. Due to climate change a new pulse is expected. Pure ataxerxes could be lost	Pleistocene	NA	Europe	Increased expected hybridisation due to climate change
10	Lepidoptera	Colias eurytheme	Colias philodice eriphyle	Least Concern	Not Evaluated	3	"Hybrid Zone, Introgression"	"Seasonal weather correlations with hybrid production, AFLPs"	"Huge hybrid zone across the USA and Canada, thus forming a Syngameon whitout losing their specific identity. Unusual pattern of constant admixture while reaining distinct. Morphological intermediates were proven not to be hybrids."	NA	NA	North America	Hybrid zone dynamics dependant on climate change
