Order	Sp1	Sp2	Region	Type	Outcome
Diptera	Tomoplagia reticulata	Tomoplagia pallens	South America	Climate Change Induced Hybridisation	Introgression
Diptera	Tomoplagia reticulata	Tomoplagia pallens	South America	Climate Change Induced Hybridisation	Rare Hybridization
Hemiptera	Carbula humerigera	Carbula putoni	Asia	Hybrid Zone Dynamics Dependant On Climate Change	Hybrid Zone
Hemiptera	Carbula humerigera	Carbula putoni	Asia	Hybrid Zone Dynamics Dependant On Climate Change	Introgression
Hemiptera	Carbula humerigera	Carbula putoni	Asia	Hybrid Zone Dynamics Dependant On Climate Change	Species Fussion
Hemiptera	Phymata americana	Phymata pennsylvanica	North America	Increased Expected Hybridisation Due To Climate Change	Hybrid Zone
Hemiptera	Phymata americana	Phymata pennsylvanica	North America	Increased Expected Hybridisation Due To Climate Change	Introgression
Hymenoptera	Apis mellifera scutellata	Apis mellifera ssp	Worldwide	Increased Expected Hybridisation Due To Climate Change	Hybrid Zone
Hymenoptera	Apis mellifera scutellata	Apis mellifera ssp	Worldwide	Increased Expected Hybridisation Due To Climate Change	Introgression
Hymenoptera	Apis mellifera scutellata	Apis mellifera ssp	Worldwide	Increased Expected Hybridisation Due To Climate Change	Species Fussion
Hymenoptera	Formica polyctena	Formica aquilonia	Europe	Increased Expected Hybridisation Due To Climate Change	Hybrid Zone
Hymenoptera	Formica polyctena	Formica aquilonia	Europe	Increased Expected Hybridisation Due To Climate Change	Species Fussion
Hymenoptera	Formica polyctena	Formica aquilonia	Europe	Increased Expected Hybridisation Due To Climate Change	Introgression
Hymenoptera	Formica polyctena	Formica aquilonia	Europe	Increased Expected Hybridisation Due To Climate Change	Adaptive Introgression
Hymenoptera	Melipona quadrifasciata quadrifasciata	Melipona quadrifasciata anthidioides	South America	Increased Expected Hybridisation Due To Climate Change	Hybrid Zone
Hymenoptera	Melipona quadrifasciata quadrifasciata	Melipona quadrifasciata anthidioides	South America	Increased Expected Hybridisation Due To Climate Change	Genetic Swamping
Hymenoptera	Solenopsis invicta	Solenopsis richteri	North America	Climate Change Induced Hybridisation	Hybrid Zone
Hymenoptera	Solenopsis invicta	Solenopsis richteri	North America	Climate Change Induced Hybridisation	Introgression
Hymenoptera	Solenopsis invicta	Solenopsis richteri	North America	Climate Change Induced Hybridisation	Species Fussion
Isoptera	Coptotermes formosanus	Coptotermes gestroi	"North America, Asia"	Expected Range Expansion And Hybridisation	Introgression
Lepidoptera	Aricia agestis	Aricia artaxerxes	Europe	Increased Expected Hybridisation Due To Climate Change	Hybrid Zone
Lepidoptera	Aricia agestis	Aricia artaxerxes	Europe	Increased Expected Hybridisation Due To Climate Change	Introgression
Lepidoptera	Aricia agestis	Aricia artaxerxes	Europe	Increased Expected Hybridisation Due To Climate Change	Species Fussion
